id,title,topic,difficulty,source_type,content
01,Purpose of hand hygiene,hand_hygiene,beginner,original_project_summary,"Hand hygiene is a foundational infection-prevention practice. Its educational purpose is to reduce the transfer of microorganisms between people, surfaces, and care activities. Learners should connect the practice to risk reduction rather than treating it as a memorized ritual."
02,Choosing a hand hygiene method,hand_hygiene,beginner,original_project_summary,"Educational guidance commonly distinguishes washing with soap and water from using an alcohol-based hand rub. The appropriate method depends on visible soil, the care context, and current institutional policy. A study answer should explain the reasoning and refer to local requirements."
03,Hand hygiene timing,hand_hygiene,intermediate,original_project_summary,"Hand hygiene is considered before and after care activities when hands may transmit microorganisms. Learners should identify transitions in activity, contact with the environment, and changes from contaminated to cleaner tasks. Exact timing language should be checked against the learner's approved policy."
04,Gloves and hand hygiene,hand_hygiene,beginner,original_project_summary,"Gloves are a barrier but do not replace hand hygiene. Gloves may have defects, hands may become contaminated during removal, and organisms may transfer when the same gloves are used across tasks. Learners should treat glove use and hand hygiene as related but separate practices."
05,Hand care and technique quality,hand_hygiene,intermediate,original_project_summary,"Skin condition, jewelry, nails, product access, and workload can affect hand-hygiene quality. A learning review should consider both the technical action and the system conditions that make reliable practice easier or harder."
06,PPE risk assessment,ppe,beginner,original_project_summary,"Personal protective equipment selection begins with a risk assessment. The learner considers the expected exposure route, the task, the environment, and current policy. PPE should not be selected only from the name of a procedure."
07,PPE categories,ppe,beginner,original_project_summary,"Common PPE categories include gloves, gowns, masks or respirators, and eye or face protection. Each protects against a different exposure pathway. A strong study response links the equipment to the anticipated risk."
08,Principle of putting on PPE,ppe,intermediate,original_project_summary,"When studying how PPE is put on, focus on preparing equipment, checking fit and integrity, and avoiding contamination of clothing or skin. Exact sequences can vary by equipment and institution, so learners should compare the concept with their approved checklist."
09,Principle of removing PPE,ppe,intermediate,original_project_summary,"PPE removal is studied as a contamination-control process. Learners should identify which surfaces may be contaminated, minimize contact with those surfaces, and perform hand hygiene at policy-defined points. The exact removal sequence must follow the approved local procedure."
10,Masks and respirators,ppe,intermediate,original_project_summary,"Masks and respirators are not interchangeable. Educational review should distinguish source control, splash protection, filtration, fit, and seal requirements. Device selection and use must follow current institutional and occupational-health policy."
